classification,Total_PnL,Average_PnL,Win_Rate,Max_Drawdown,Average_Leverage,Total_Volume
Extreme Fear,739110.2484899999,34.53786207897196,0.370607476635514,-217850.31251099933,,35864117.02453648
Extreme Greed,2715171.3106730003,67.89286133909283,0.46494298859771954,-152323.10419999983,,353225970.51807374
Fear,3357155.441642,54.2903996254993,0.42076750165758364,-113383.71529000043,,185055993.79266712
Greed,2150129.272951,42.74355948851957,0.38482794266743536,-460774.4195910073,,237195132.08942243
Neutral,1292920.67555,34.30771839807886,0.3969909250119408,-132639.36069899914,,165191633.3435933
